text,label
DEbATinG IF BuRgER🍔 Or bIRYanI is THe TRUe kIng Of FOOd FigHT ME 😂,food
LATEst SMartpHONE bY opeNai dROPpEd tOdAy 🔥 wiTh ai feAtures bUT baTtEry sUCkS LOl🙄,tech
cRicKet COMmeNTArY FelT bIasEd SmH BUT sTILL WHAtTa GAME BY curRY,sports
sOfTwaRE upDatE HaD BuGZzZ again 😂 usErs on TwItTer Mad 😂~~~,tech
soFTwarE updatE Had bugZzz AGAIN 😂 useRs On TwITTer MAd,tech
tRiEd thE NeW BUrGER yeStERday OMG it WAs SoOo GOOD 💯 BuT a bIt ToO sPiCY,food
ROnALdo SCorEd A LAsT MinUte gOAL!!! PPl WenT CRAzY In thE sTADiUm,sports
latEST SMartPHonE By ApPLe dRopped tODAy 🔥 wIth AI FeATuRes buT bAtTeRY SUckS LOl,tech
DEBAtiNg if buRger🍔 oR BIrYaNI Is tHe tRue KiNG Of foOD fiGhT ME 😂....,food
cRiCKET cOmmentAry FeLT bIAsed sMh bUt STIll whAtTA gaMe By KohLi,sports
The PRiME mINISTer ANNOUncEd neW POlICy AbOuT Jobs but pPl argUe IT'S jusT FAKE pROmISes 🤔,politics
tried tHe New TACOs YestErdAY OMG It wAS sOoO Good 💯 bUt a bIt too SPiCy,food
gOOGle lauNcHes nEw ai mOdEl But pPL COMplaIn AboUt daTA pRiVACy isSUES 🤔,tech
gOoGLE lauNChes NEw AI MOdEl BUt pPL cOMPLAiN ABOUT Data privAcY issUES 🤔,tech
ELecTIOnS ReSUltS SHOWed REpuBLICANS WInNiNg bUt maNy Ppl SAID CorRupTION!!,politics
RestaUrANT NEar MUmbAi sErveS pizZaAA 🍕 tHaT TaSTeS beTTER tHAn DOmINOs lOL~~~,food
FAnS Are DEbAtING iF cheLsea deserved the 🏆 tITLE This sEaSOn oR Nah??,sports
NEtfLix Show aBoUT HeAlTHCaRe TrenDIng Rn loL PPL bINGE wATCHIn aLl NIGHT,entertainment
Made curry wiTh chiCkEn AND IT turnEd out FiReeE 🔥🔥🔥,food
netfLIX Show aboUt eDuCATIoN trendINg rn lol ppL bINGE WatchIn aLl NiGht,entertainment
NETfLix SHow abouT Ai TREnDinG Rn lOl PPl binGE WATChIN All nIGht,entertainment
debaTe iN pARLiaMEnT WAS noISy af loL wITH biDeN shoUtIng Again 🤔???,politics
cOdiNG lIFe Is TOUGH SMH IdK wHy This lAPTop STIlL CrASHeS... 😂,tech
nEw MOVie STArRING deePIkA got miXED rEvIews But bOX OFfIcE STILl huGE,entertainment
laTest sMarTphOne bY miCRosoft DropPED TOdAY 🔥 wITh AI FeATuRES But BaTTery SucKs Lol,tech
